scientific name,common names,hymenium type,cap shape,gill type,stipe type,spore color,ecological type,edible,URL
leucocoprinus tropicus,none,gills,"convex, depressed",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_tropicus
leucocoprinus zeylanicus,none,gills,"campanulate, umbonate",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_zeylanicus
macrolepiota zeyheri,"djilo,n'volo mighom",gills,convex,free,ring,"pink, white",saprotrophic,edible,https://en.wikipedia.org/wiki/Macrolepiota_zeyheri
leucocoprinus subglobisporus,none,gills,"campanulate, depressed",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_subglobisporus
leucocoprinus tenellus,none,gills,"campanulate, flat",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_tenellus
leucocoprinus martinicensis,none,gills,"campanulate, flat",free,bare,"white, yellow",saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_martinicensis
leucocoprinus venezuelanus,none,gills,"campanulate, umbonate",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_venezuelanus
leucocoprinus magnusianus,none,gills,campanulate,free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_magnusianus
amanita hygroscopica,"amanita hygroscopia,pink-gilled destroying angel",gills,"convex, flat",free,"ring,volva",white,mycorrhizal,deadly,https://en.wikipedia.org/wiki/Amanita_hygroscopica
leucocoprinus viridiflavoides,none,gills,"convex, umbonate",free,ring,yellow,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_viridiflavoides
leucocoprinus nanianae,none,gills,"convex, flat",free,ring,"cream, white",saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_nanianae
leucocoprinus tanetensis,none,gills,convex,free,ring,cream,saprotrophic,edible,https://en.wikipedia.org/wiki/Leucocoprinus_tanetensis
leucocoprinus nigricans,none,gills,"conical, flat",adnexed,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_nigricans
leucocoprinus truncatus,none,gills,"campanulate, flat",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_truncatus
leucocoprinus armeniacoflavus,none,gills,"campanulate, umbonate",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_armeniacoflavus
leucoagaricus lacrymans,none,gills,"campanulate, flat",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucoagaricus_lacrymans
leucocoprinus flavipes,none,gills,"campanulate, flat",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_flavipes
collybiopsis confluens,clustered toughshank,gills,"convex, flat","adnate, free",bare,"yellow, white",saprotrophic,"unknown, inedible",https://en.wikipedia.org/wiki/Collybiopsis_confluens
amanita muscaria var. inzengae,inzenga's fly agaric,gills,"flat, convex",free,"ring,volva",white,mycorrhizal,"poisonous, psychoactive",https://en.wikipedia.org/wiki/Amanita_muscaria_var._inzengae
pleurotus opuntiae,none,gills,offset,decurrent,ring,white,"saprotrophic, parasitic",edible,https://en.wikipedia.org/wiki/Pleurotus_opuntiae
amanita polypyramis,none,gills,"convex, flat",free,"ring,volva",white,mycorrhizal,"unknown, poisonous",https://en.wikipedia.org/wiki/Amanita_polypyramis
amanita ibotengutake,none,gills,flat,free,"ring,volva",white,mycorrhizal,"poisonous, psychoactive",https://en.wikipedia.org/wiki/Amanita_ibotengutake
pleurotus euosmus,tarragon oyster mushroom,gills,"convex, depressed",decurrent,bare,pink,"saprotrophic, parasitic",choice,https://en.wikipedia.org/wiki/Pleurotus_euosmus
pleurotus parsonsiae,velvet oyster mushroom,gills,"offset, depressed",decurrent,bare,white,"saprotrophic, parasitic",edible,https://en.wikipedia.org/wiki/Pleurotus_parsonsiae
leucocoprinus russoceps,none,gills,"campanulate, convex",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_russoceps
leucocoprinus bulbipes,none,gills,"campanulate, convex",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_bulbipes
leucocoprinus antillarum,none,gills,"campanulate, convex",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_antillarum
